Namespace(batchsize=32, cnfmat=0, dataset='cal256', datasettype=1, losstype=1, lr=0.0005, mainloss=0, nEpochs=50, netG='savemodel/CAL256neural/netconv65.pth', out='savemodel/TEST', pretrain=1, train=0)
Caltech 256 dataset
Enumeration done
Data creation done for 0/758
Data creation done for 100/758
Data creation done for 200/758
Data creation done for 300/758
Data creation done for 400/758
Data creation done for 500/758
Data creation done for 600/758
Data creation done for 700/758
Image and labels done
Using 3 number of neighbours
Nearest neighbours Classifier trained
Prediction done for 0/186
Prediction done for 50/186
Prediction done for 100/186
Prediction done for 150/186
                               precision    recall  f1-score   support

                        other       0.14      0.43      0.21        30
              094.guitar-pick       0.03      0.04      0.04        23
      063.electric-guitar-101       0.09      0.21      0.12        28
           156.paper-shredder       0.00      0.00      0.00        19
                  096.hammock       0.12      0.24      0.16        21
             235.umbrella-101       0.08      0.08      0.08        13
              246.wine-bottle       0.00      0.00      0.00        21
             174.rotary-phone       0.00      0.00      0.00        20
              057.dolphin-101       0.00      0.00      0.00        20
            226.traffic-light       0.03      0.07      0.04        14
                     117.ipod       0.00      0.00      0.00        20
                    125.knife       0.43      0.12      0.19        24
             062.eiffel-tower       0.00      0.00      0.00        24
           202.steering-wheel       0.07      0.14      0.09        21
               053.desk-globe       0.17      0.15      0.16        20
                   214.teepee       0.00      0.00      0.00        19
                 144.minotaur       0.50      0.11      0.18        18
             217.tennis-court       0.07      0.07      0.07        27
                  084.giraffe       0.00      0.00      0.00        25
                    028.camel       0.11      0.41      0.18        29
             054.diamond-ring       0.10      0.26      0.14        23
                  079.frisbee       0.28      0.72      0.40        25
                240.watch-101       0.05      0.15      0.08        20
           112.human-skeleton       0.45      0.23      0.30        22
               072.fire-truck       0.00      0.00      0.00        17
                095.hamburger       0.13      0.14      0.14        21
       086.golden-gate-bridge       0.07      0.06      0.07        31
                024.butterfly       0.07      0.08      0.07        26
                   212.teapot       0.09      0.06      0.07        17
              228.triceratops       0.19      0.27      0.22        33
                111.house-fly       0.38      0.15      0.21        20
                134.llama-101       0.09      0.03      0.05        29
             121.kangaroo-101       0.03      0.05      0.04        19
                  220.toaster       0.00      0.00      0.00        22
                  210.syringe       0.21      0.10      0.13        31
                   231.tripod       0.00      0.00      0.00        28
             163.playing-card       0.00      0.00      0.00        20
                 013.birdbath       0.00      0.00      0.00        23
                  236.unicorn       0.11      0.31      0.16        13
                   082.galaxy       0.00      0.00      0.00        27
                     207.swan       0.10      0.16      0.12        19
                023.bulldozer       0.04      0.04      0.04        26
                     256.toad       0.00      0.00      0.00        25
                011.billiards       0.00      0.00      0.00        25
              132.light-house       0.14      0.24      0.18        25
                  183.sextant       0.19      0.28      0.22        18
                  170.rainbow       0.54      0.33      0.41        21
               178.school-bus       0.08      0.11      0.09        27
                 229.tricycle       0.06      0.11      0.07        28
               015.bonsai-101       0.00      0.00      0.00        31
